제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
한국에서 정보격차와 사회적 배제의 관계에 관한 탐색적 비교 분석,김구(金求),한국지역정보화학회,한국지역정보화학회지(JOURNAL OF KOREAN ASSOCIATION FOR REGIONAL INFORMATION SOCIETY),"Vol.17No.2[2014]
",2014,Korean,"정보격차,정보격차지수,사회적 배제,정보화정책,Digital Divide,Digital Divide Index,Social Exclusion,Information Society Policy",,KCI등재,"학술저널
",http://www.karis21.or.kr/,61-88,14.0,,," KCI, &nbsp;&nbsp; DBpia",,"그동안 정보격차와 사회적 배제가 상호 관련되어 있다는 규범적 논의가 있어 왔다. 본 연구는 우리나라 정보격차와 사회적 배제의 관련성을 파악하기 위하여 2004년부터 2013년까지 시계열 종단 자료를 통해 연차별 변동 패턴을 비교 분석하였다. 분석결과 일반적인 정보격차 실태에서는 매년 정보격차가 좁혀지고 있으며, 4개 정보격차 영역 중에서 접근격차가 가장 낮게 나타났다. 그러나 컴퓨터와 인터넷 활용능력을 나타내는 역량격차는 다른 영역보다 높게 나타남으로써 이에 대한 맞춤식 활용방안이 마련되어야 할 것이다. 정보격차와 사회적 배제의 변동 관계에서는 정보격차의 모든 영역이 사회적 배제와 부분적으로 관련이 있는 것으로 파악되었다. 소득에서는 상대빈곤층의 기초생활보장수급이 유사한 변동 추이를 보이는 것으로 파악되었으며, 실업에서는 비정규직근로자비율, 주거에서는 자가점유율, 사회적 참여에서는 사회적 고립도 등이 부분적으로 유사한 변동 추이를 보이는 것으로 파악되었다. 본 연구는 이 결과를 토대로 가설을 제안하였으며, 사회적 배제를 제거하기 위한 정부의 정책적 노력으로서 정보격차해소 방안이 맞춤식으로 마련되어야 할 것을 제안하였다.","The normative discussion on the relationship between digital divide and social exclusion were correlated. This study was analyzed a time series data from 2004 to 2013 to understand the relationship between digital divide and social exclusion in Korea. The result of this study was found that the digital divide is narrowing and access divide is the lowest in annual survey. However, competences divide including use skills of computer and Internet is higher than in other areas. Therefore, in order to be prepared should be provided customized utilization. The changes in patterns between digital divide and social exclusion was identified that all areas of the digital divide and social exclusion are related to partial. And significant indicator of social exclusion is basic livelihood security of the poor relative, the ratio of non-regular workers, the ratio of one""s own home, and social isolation degrees. Based on the results of the analysis of this study is proposed hypotheses and to be established customized digital divide plan to eliminate social exclusion.","<요약>
Ⅰ. 서론
Ⅱ. 개념 및 이론적 논의
Ⅲ. 분석 틀
Ⅵ. 정보격차와 사회적 배제의 비교 분석
Ⅴ. 결론
참고문헌
Abstract
"
경찰의 정보격차 실태와 개선방안 = Digital Divide in Police and Improvement Suggestions : Focusing on the Skills Divide,권태형,경찰대학 치안정책연구소,치안정책연구,"Vol.28No.2[2014]
",2014,Korean,"정보격차,경찰정보화시스템,정보화 능력,정보화 교육,사이버교육",300.0,KCI등재,"학술저널
",,59-97,,,," RISS, &nbsp;&nbsp; KCI",경북대학교 중앙도서관,"정보화 시대에 갈수록 교묘해지는 각종 범죄에 맞서는 경찰은 정보통신기술에 기반한 스마트 치안 등 더욱 효과적이고 창의적인 업무체계를 갖추기 위해 꾸준히 노력하고 있다. 하지만 경찰정보화시스템이 계속 첨단·고도화 된다 해도 실제 이를 활용해야 하는 경찰 내에 정보격차가 있다면 스마트 치안 구현은 쉽게 이루어지기 어려울 것이다. 따라서 스마트 치안 구현을 위해서는 경찰 내 정보격차 해소가 뒷받침 되어야 한다. 이에 본 연구에서는 경찰의 정보격차 실태를 활용격차 위주로 실증적으로 파악하고, 정보격차를 개선하기 위한 방안을 모색해보고자 한다. 
경찰의 정보화 능력을 여러 집단별로 비교 조사한 결과 정보화 능력이 낮은 집단을 정리하면 다음과 같다. 근무형태로는 외근직이고, 성별로는 남자이며, 계급별로는 경찰 간부인 경위, 경감, 경정이상이며, 나이가 많고 근무경력이 많은 집단이다. 그리고 근무기능별로는 생활안전, 지역경찰, 경비/교통 기능이 상대적으로 낮은 것으로 나타났다. 또한, 개인성과평가 등급이 높을수록 전반적인 정보화 능력이 높은 것으로 나타났다. 내근직은 개인성과평가 등급이 높을수록 정보화 능력 점수가 높으며, 외근직은 성과평가 하위등급(B등급, C등급)의 정보화 능력 점수가 성과평가 상위등급(S등급, A등급) 보다 낮은 것으로 나타났다. 한편, 정보화 능력과 지방청 치안종합성과평가 결과의 관계에서는 치안종합성과평가 결과가 상위등급(S등급, A등급)인 지방청의 정보화 능력이 치안종합성과평가 결과가 낮은 지방청의 정보화 능력보다 높은 경향이 있는 것으로 나타났다. 본 연구에서는 이와 같은 연구결과를 토대로 경찰의 정보격차 해소 방안을 교육적인 측면과 정보화장 비보급측면으로 나누어 제언한다.","To fight over the crimes getting more skillful and clever, the police have endeavored to devise more efficient and creative systems such as Smart Policing based on Information and Communications Technology (ICT). However, even though the Police Information System is getting even more advanced, it is unlikely to be utilized if there is a Digital Divide in the police, the ones who actually use the system in the field. In order to embody the Smart Policing, the Digital Divide in the police should be settled. This study is going to understand the status of the Digital Divide focusing on the Skills Divide and suggest some improvement proposals to solve the problems. 
Comparing ICT skills of policemen, the characteristics of low ICT skills groups are as follows: the shift pattern is field policeman, sex male, and rank inspector, senior inspector, superintendent or higher ranks, and the aged, experienced group. In terms of functions of duties the scores in public safety, patrol officer, and public security/traffic are relatively low in the low ICT skills groups. Also, policemen with higher individual performance evaluation levels turn out to have better ICT skills. Desk policemen who have higher individual evaluation levels have higher ICT skills scores, and in case of field policemen, the lower individual evaluation level (B and C level) groups have lower ICT skills scores than the higher individual evaluation level (S and A level) groups. On the other hand for the relation between ICT skills and Metropolitan/Provincial Police Agency’s Police Comprehensive Performance Assessment relationship, the groups with higher Police Comprehensive Performance Assessment scores (S and A level) tend to have better ICT skills than those with lower Police Comprehensive Performance Assessment scores. 
This study, based on such research results, proposes solutions to the Digital Divide problem in the police in the two different aspects of education and dissemination of ICT equipment. Also, an investigation of the Digital Divide status in police should be conducted annually in order to time-sequentially measure and evaluate resolution policies of Digital Divide in the police and to utilize as a base line data for more efficient development of policies in the future.",
국가간 정보격차 진단 모형 개발에 관한 연구 = A Study on the Diagnostic Model of Cross-national Digital Divide,이호형,한국엔터프라이즈아키텍처학회,정보기술아키텍처연구(The Journal of Information Technology and Architecture),"Vol.11No.1[2014]
",2014,Korean,"정보격차,정보화,공적개발원조,개발도상국,정보화 전략,informatization,information gap,ODA,developing country",,KCI등재,"학술저널
",,99-111,3.0,,," KCI, &nbsp;&nbsp; eArticle",,"현재 개발도상국 공적개발원조(ODA) 사업에서 통신망 구축, PC 보급 등 정보화 기반 확충을 도와주고 있다. 국가간 정보격차 해소를 위한 대한민국 IT 봉사단 파견사업도 해당국의 정보화 활용 수준을 높이는데 큰 기여를 하고 있다. 본 연구 결과를 종합적으로 검토해 보면 다음과 같은 시사점을 얻을 수 있다. 개발도상국의 정보화 기반 수준이 높으면 정보화 활용 수준에 영향을 미치는 것은 자명하다. 하지만 개발도상국의 정보화 전략 수준과 환경 수준을 높여주는 것이 당장의 정보화 기반 수준을 높이는 것 보다 장기적으로 정보화 활용 수준을 높이는데 더 큰 영향력을 미친다. 좀 더 장기적인 개발도상국 정보격차 해소는 정보화 전략 수준과 환경 수준을 높여줄 때 가능한 것으로 보인다.","Developing countries are official development assistance (ODA) projects in the communication network, PC-based expansion of the information dissemination, such as a help. For bridging the digital divide cross-national Republic of Korea is the country of dispatch business IT Service Corps utilize the information to raise the level to be a significant contribution to. Overall, results of this study revealed the following implications can be obtained. The higher the level of computerization in developing countries based on the information that affect utilization levels is obvious. However, the level of developing countries and environmental information strategy that increases the level of informatization is based right in the long run than to increase the level of ICT to raise utilization levels greater influential. Bridging the digital divide in developing countries a more long-term information strategy is to increase your level and the environmental level, it seems possible.",
다문화사회에서의 정보격차해소를 위한 플랫폼 전자정부 구축 연구,"이상윤,정명주",한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.12No.1[2014]
",2014,Korean,"다문화사회,정보격차,정보서비스,플랫폼,전자정부,Multicultural Society,Digital Divide,Information Service,Platform,e-Government",569.0,KCI등재,"학술저널
",http://www.policy.or.kr,1-12,24.0,,," ScienceON, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,,,"요약
 Abstract
 1. 서론
 2. 다문화사회와 정보격차
  2.1 한국의 다문화적 상황의 전개
  2.2 정보격차
  2.3 다문화사회에서의 정보격차
  2.4 다문화사회의 정보격차해소 필요성
 3. 정보통신기술동향과 한국에서의 다문화 정보서비스 제공 현황
  3.1 미래 스마트 사회와 정보통신기술동향
  3.2 관련 연구 및 한국에서의 다문화정보서비스 제공 현황
 4. 다문화가족지원정책과 정보격차해소 전략설정
  4.1 시나리오플래닝의 개념과 의미
  4.2 시나리오플래닝을 통한 정보격차해소를 위한 다문화정보서비스 제공의 미래상과 주요 이슈 선정
  4.3 한국 다문화정책 관련 정보서비스제공에 있어 전자정부 구축방향
 5. 결론 및 정책적 시사점
 REFERENCES"
스마트 격차와 정보 격차의 생태계에 관한 연구,최한용(Hanyong Choi),국제e-비즈니스학회,e-비즈니스 연구(The e-business studies),"Vol.15No.6[2014]
",2014,Korean,"정보 격차,스마트 격차,융합,Digital Divide,Smart divide,Convergence",324.0,KCI등재,"학술저널
",,299-313,5.0,,, DBpia,,,,"초록
Ⅰ. 서론
Ⅱ. 정보화와 정보격차
Ⅲ. 정보기기와 정보격차의 변화
Ⅳ. 지역정보격차 해소와 지역사회 발전방안
Ⅴ. 결론
참고문헌
ABSTRACT
"
"질적 정보격차와 인터넷 정보이용의 영향요인 고찰 = Consideration to Influence Factor of Using Internet Information and the Second Digital Divide: Focus on Users’ Digital Literacy, Perceived Awareness, and Self-efficacy",송효진(宋孝眞),한국정책과학학회,한국정책과학학회보(korean policy sciences review),"Vol.18No.2[2014]
",2014,Korean,"질적 정보격차(2차 정보격차),이용충족이론,지식격차가설,기술수용모델,the second digital divide,knowledge-gap theory,uses and gratification theory,technology acceptance model",,KCI등재,"학술저널
",http://www.kaps21.or.kr,85-116,,,, DBpia,,"우리나라의 정보기술 단계는 ‘포화기’에 접근하였거나 이미 진입하였다고 평가할 수 있다. 초고속인터넷 인프라의 급속한 확산으로 인터넷 정보에의 접근 격차는 현저히 줄어들고 있다. 그러나 정보의 실제적 이용이나 다양성 측면에서 볼 때 불균형적 정보이용은 오히려 심화되고 있으며, 기존의 경제?문화?사회적 자본 등에 있어서의 불평등 구조와 맞물려 사회적 불평등을 심화시킬 가능성을 내포하고 있다(Foster, 2000; 민영?김성태, 2008). Hargittai(2002), Peter와 Valkenburg(2006)등은 인터넷의 이용률이 급속하게 늘어남에도 불구하고 ‘격차’ 또는 ‘불평등’의 문제가 여전히 중요하다고 지적하면서 접근의 문제에 따른 1차 격차(first digital divide)가 어느 정도 해소된 시점에서의 정보격차 양상을 탐색하기 위해서는 인터넷 이용자 내부에 존재하는 2차 격차(second digital divide)에 주목해야 한다고 주장한 바 있다. 이러한 점에서 이 연구는 인터넷 이용자 집단 내 질적 정보격차를 확인하고, 개인의 불균형적 정보이용 문제와 이에 미치는 영향요인을 규명하는데 목적을 두었다. 이를 위한 이론적 기초는 지식격차가설, 이용충족이론, 기술수용모형으로 하여 이용자 개인의 사회경제적 요인과 디지털 리터러시, 인터넷 정보이용에 대해 갖게 되는 인식(태도), 자기효능감과 같은 인지적?심리적 요인을 중심으로 살펴보았다.","The access gap of internet information has noticeably decreased because of spreading of high-speed internet Infra. In the actual use and diversity of information, however, asymmetric information using has more been intensified. Hargittai(2002), Peter and Valkenburg(2006) insisted that a problem of ‘gap’ or ‘inequality’ is still important as of rapidly increase to usage of Internet and attention to the second digital divide that exists in interior user of Internet for searching to aspect of information gap. Based on knowledge-gap theory, gratifications theory and technical acceptance model, the study investigated users’ social-economic factor and cognitive and psychological factors including digital literacy, attitude towards information use on the Internet and self-efficacy.","Ⅰ. 서론
Ⅱ. 이론적 배경 및 논의
Ⅲ. 연구방법
Ⅳ. 연구결과
Ⅴ. 결론: 정책 제언
참고문헌
ABSTRACT
"
정보 격차 해소를 위한 초고속 인터넷 망 확대에 대한 경제성 분석,"한인섭(In-Seop Han),김지표(Jipyo Kim)",한국통신학회,한국통신학회논문지(The Journal of the KICS),"Vol.38No.3B[2013]
",2013,Korean,"digital divide,high-speed internet network,informatization project,economic analysis,sensitivity analysis",,KCI등재,"학술저널
",http://kics.or.kr,180-189,1.0,,," ScienceON, &nbsp;&nbsp; DBpia",,"본 연구의 목적은 농어촌 지역의 정보격차 해소를 위한 초고속정보통신 인프라 구축 확대에 대해 경제성을 분석하여 정부 및 민간 통신사업자에게 정보화사업 확대의 당위성과 추진 전략을 제안하는 데에 있다. 초고속 인터넷 망에 대한 접근성이 결여된 상태에서 도시와 농어촌 지역 간에 정보격차가 발생될 수밖에 없는 상황을 살펴보고, 농어촌 지역의 마을 형태별 FTTH 망 구성을 위해 가입자 댁내 인입 구간인 1.3Km~1.5Km 범위를 대상으로 경제성 분석을 하였다. 통신 인프라 망의 구축을 통하여 창출되는 유무형의 사회적 편익요소의 가치를 고려할 때 중앙정부에서 주도적으로 정보화 사업을 추진할 필요가 있으며, 이를 위해 효과적으로 정보격차를 해소시킬 수 있는 방안을 제시하였다.","The objective of this paper is to analyze the profitability of expanding the high-speed internet network and provide the strategy and policy for the government and telecommunication providers to fill the information gaps in rural areas. First, we analyzed the situation where the accessibility of high-speed internet networks is deficient and reasons why it is slow to build the communication network infrastructure in the remote agricultural and fishing areas. Then economic analysis was performed to find out how much it cost to make it possible for every village of rural areas to access the high-speed internet network as well as sensitivity analysis.","요약
ABSTRACT
I. 서론
II. 인터넷 망 활용 및 구축 현황
III. 인터넷 망 확대에 대한 경제성 분석
IV. 시사점 및 결론
References
"
정보격차해소에 대한 정부의 관심과 정책적 변화,"서진완,이미루,허진희",한국국정관리학회,현대사회와 행정(Modern Society and Public Administration),"Vol.23No.3[2013]
",2013,,"정보격차해소,디지털통합,국가정보화기본법,국가정보화전략위원회",350.0,KCI등재,"학술저널
",,45-74,5.0,,, 스콜라,,"정보격차 문제는 정보화사회가 진전될수록 정부의 관심이 지속되어 왔으며, 이명박 정부가 출범한 후 정보격차해소에 대한 법률을 '국가정보화기본법'으로 일원화하여 제정하였다. 이후 정부의 정보격차해소에 관한 정책에 큰 변화가 있었으며, 이러한 제도적 변화가 정부의 정보격차해소 노력에 어떤 영향을 주었는지는 중요한 관심이 되었다. 본 연구에서는 정보화전략추진위원회와 안전행정부를 중심으로 정보격차해소를 위해 정부가 어떤 약속을 했으며, 구체적으로 어떤 정책적 노력을 보여주었는지를 살펴보고, 이를 분석하여 정보격차해소에 관한 정책적 관심과 노력을 살펴보았다.",,"국문요약
Ⅰ. 들어가는 글
Ⅱ. 정보격차에 대한 이론적 시각의 확장
Ⅲ. 정보격차해소를 위한 법제도 및 정책적 변화
Ⅳ. 이명박정부의 정보격차해소를 위한 기대와 실제
Ⅴ. 맺는 글
▣ 참고문헌"
고령화사회에서의 정보격차의 법적 문제 -한·일 비교법적 관점에서- = Legal issues of digital divide in an aging society －from a perspective of the comparative law between Korea and Japan－,함인선,전남대학교 법학연구소,법학논총,"Vol.32No.1[2012]
",2012,Korean,"aging society,digital divide,information society,Korean-Japanese comparative law,internet,soft law,고령화사회,정보격차,정보사회,한·일 비교법,인터넷,소프트 로",,KCI등재,"학술저널
",,33-59,1.0,,," 스콜라, &nbsp;&nbsp; 스콜라",전남대학교 중앙도서관,"본 연구는 고령화사회에서의 정보격차의 법적 문제를 한·일 비교법적 관점에서 수행한 것이다. 구체적으로는, 고령화사회 및 정보격차의 개념과 한·일 양국에서의 현황(Ⅱ)과 한·일 양국의 관련법제의 검토(Ⅲ)를 검토한 다음, 고령화사회의 정보격차 해소를 위한 법적 과제(Ⅳ)를 제시한 것이다. 먼저, Ⅱ에서는 일본은 우리나라보다 30년 앞서 고령화사회에 이르렀지만, 우리나라의 고령화속도가 점점 빨라지면서 그 시차가 좁아지고 있음을 확인하였다. 또한, 고령자의 정보격차는 다른 취약계층보다도 상대적으로 더 열위에 있음을 알 수 있다. 다만, 일본 고령자가 한국의 고령자에 비하여, 인터넷 이용도가 대단히 높음을 알 수 있다. Ⅲ에서는 먼저, 고령사회와 관련한 양국의 법제는 기본적으로 유사하다고 할 수 있지만, 양자는 다음과 같은 점에서 차이를 보이고 있다. 즉, 첫째로, 한국의 경우에는 고령화와 저출산문제를 동일선상에서 파악하여 정책을 수립하도록 하고 있는 점이다. 이에 대해 일본의 경우에는 고령사회문제와 저출산문제를 별개로 접근하고 있다. 둘째로, 한국의 경우에는 고령화문제의 하나로서 정보격차의 해소를 규정하고 있는 점이다. 그러나, 일본의 경우에는 이러한 규정을 두고 있지 않다는 점을 들 수 있다. 다음으로, 정보화와 관련한 양국의 법제는 ‘기본법’ 형식을 취하고 있는 점에서는 유사하나, 그 실질에 있어서는 적지 않은 차이를 나타내고 있다. 첫째로, 정보격차와 관련하여, 한국의 경우에는 개념정의를 비롯하여 비교적 상세한 규정을 두고 있는데 비하여, 일본의 경우에는 ‘정보격차’ 라는 용어의 사용을 회피한 채 그것을 포함하는 포괄적인 내용의 규정을 두고 있다는 점이다. 둘째로, 한국의 경우에는 국가정보화 추진과 관련된 사항을 심의하기 위하여 대통령 소속으로 ‘국가정보화전략위원회’를 두고, 국무총리와 민간위원장이 공동위원장이 되도록 하고 있는 데 비하여, 일본의 경우에는 고도정보통신네트워크사회의 형성에 관한 시책을 신속하고 중점적으로 추진하기 위하여 내각에 ‘고도정보통신네트워크사회추진전략본부’를 설치하고, 본부장으로서 내각총리대신이 맡도록 규정하고 있다는 점이다.
이러한 고찰의 결과, 고령화사회의 정보격차 해소를 위한 법적 과제로서 융합법제의 요청, 민관협동에 의한 대응, 보다 엄격한 법치행정의 요청을 제시하였다. 첫째로, 융합법제의 요청과 관련하여서는, 고령화사회에서의 정보격차문제를 해소하기 위하여서는 우선, 국가행정기관에 의한 임무 수행이 요청되는데, 행정실제에서 고령화와 정보격차문제를 소관하는 부처가 다르다. 이로 인하여, 고령화사회에서의 정보격차해소라는 문제가 각각 다른 부처에서 이루어지고, 따라서 중복되거나 서로 책임을 미루다가 공백지대로 남게 될 우려가 있다. 이러한 점에서 고령화사회에서의 정보격차해소 문제는 사회의 발전에 따라 등장한 새로운 이슈로서 종래의 부처간의 칸막이행정에 의하여 수행할 것이 아니라, 새로운 환경에 탄력성있게 대응할 수 있도록 정부조직을 유연하게 만들 필요가 있고, 그러한 경우에 인력과 예산의 운용에 있어서 무엇보다 탄력적일 필요가 있을 것이며, 그를 위한 이른바 융합법제의 도입이 요청된다. 둘째로, 고령화사회의 정보격차 해소문제는 행정에만 맡겨서는 쉽게 해결할 수 있는 과제가 아니며, 행정만에...","This study is executed from a perspective of the comparative law between Korea and Japan in relation with legal issues of the digital divide in a ageing society. More specifically, the concepts of the ageing society and digital divide, and status quo in Korea and Japan thereupon(Ⅱ). And the comprehensive screen of the related laws in Korea and Japan(Ⅲ). Lastly, the legal tasks are presented for resolving the digital divide in a ageing society. Japan has reached the ageing society more than 30 years earlier than Korea, but the time gap in the ageing rate between Korea and Japan becomes shorter and shorter. Japanese aged are using internet more frequently than Korean aged.
By the way, while the related laws in Korea and Japan are basically very similar,there are many different respects in them as follows. Firstly, as in Korea the issues of the ageing society and the low birthrate trend are regarded as the same character, the same statute is prescribed thereupon. Contrary to it, in Japan the two issues are prescribed separately. Secondly, while the resolution of digital divide is prescribed as one of aging society problems in Korean, it is not in Japan.
In relation to information society, while the legal systems of two countries take the “fundamental act” system thereupon, there are many different respects in content. Firstly, while the concept of digital divide is prescribed in detail in Korean act, it is not prescribed in Japanese act. Secondly, while the Korean acts are prescribed in detail with regard to the exercise of the executive powers, the Japanese acts are not. This is because the Gyouseisido is very prevalent in Japan.
And this is regarded as the core factor which the rule of law is not executed in strict mode in Japan.",
미국 사회에서 스마트 기기가 정보격차에 미치는 영향 분석 = Analysis of the Effects of Smart Devices on Digital Divide in America,"이승민,Lee, Seung-Min",한국도서관정보학회,한국도서관정보학회지,"Vol.43No.2[2012]
",2012,Korean,,,KCI등재,"학술저널
",http://liss.jams.or.kr,29-52,20.0,,," ScienceON, &nbsp;&nbsp; KCI",영남대학교 중앙도서관,,"The use of smart device has changed the traditional meaning of digital divide. It has also bridged the gap between information-haves and have-nots. In contrast, some researchers insist that the dissemination of smart devices has created new digital divide different from traditional divide. In order to clarify the current status of digital divide, this research statistically analyzed correlations between the factors of digital divide and possessions of smart devices based on the survey results conducted by Pew Research Center. It was also statistically demonstrated whether the digital literacy in using smartphones affects the generation of smart divide.",
남･북한 정보격차 소고: 연구와 실상 = A Study on Digital Divide between South and North Korea: Knowledge and Reality,한세억,연세대학교(미래캠퍼스) 빈곤문제국제개발연구원,지역발전연구,"Vol.21No.2[2012]
",2012,Korean,"정보화,정보격차,문헌분석,정책지식,남북한,informatization,digital divide,policy knowledge,South and North Korea,informatization,digital divide,policy knowledge,South and North Korea",,KCI등재,"학술저널
",,139-166,0.0,,, DBpia,영남대학교 중앙도서관,"본 연구는 남북한 정보화 격차관련 문헌을 통하여 남북한 정보격차 현상과 수준을 기술, 이해하면서 이론 및 정책적 시사점을 도출하고자 한다. 기존문헌에서 추출한 개념어들의 유사성에 기초하여 살펴본 결과, 통합된 연결고리를 발견하기 어려웠으며 주제별, 사안별로 분절되면서 공통의 인지적 기초에 기반을 둔 논의가 이루어지지 못하였음을 드러냈다. 하지만 정보통신, 통신교류, 정보화, 정보격차, 정보화교육 등이 느슨하게 연결된 클러스터를 형성하였다. 현재 남한은 세계 최고수준의 정보화 기반을 갖추었지만 북한은 세계 최하위 수준을 드러냈다. 이러한 남북 간 정보화 격차는 정보화가 진전될수록 심화되는 것으로 나타났다. 장차 남북한 정보격차 해소를 위해 북한의 정보화 실상에 대한 체계적인 파악과 함께 정책지식생태의 활성화 등을 통해 정보격차 해소정책의 근거를 강화할 필요가 있다.",,
스마트융합시대 취약계층에 대한 정보격차 해소 방안,"강월석,양해술",한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.10No.1[2012]
",2012,English,"스마트융합,정보격차해소,취약계층,평등기회,Smart convergence,Solution of digital divide,weak layers,equal opportunity",569.0,KCI등재,"학술저널
",http://www.policy.or.kr,29-38,16.0,,," ScienceON, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,,,"요약
 Abstract
 1. 서론
  1.1. 연구 배경 및 필요성
 2. 정보격차 개념 및 유형
  2.1. 정보격차 개념
  2.2. 정보격차 유형
 3. 국내정보격차 및 해소 추진현황
  3.1. 정보격차 범주 및 격차 현황
  3.2. 스마트폰 모바일 환경에서의 정보격차 현황
  3.3. 국내 정보격차 해소 추진 현황
 4. 해외주요국 정보격차해소 추진현황
  4.1. 미국
  4.2. 일본
 5. 스마트융합 환경에서의 국내외정보 활용 현황 비교
 6. 시사점
 7. 정보격차 해소를 위한 정책 방안
  7.1. 스마트정보문화확립
  7.2. 스마트실버비즈니스센터
  7.3. 스마트실버워크센터
  7.4. 스마트실버재택근무제도
  7.5. 스마트실버교육센터
 8. 정책 방안 달성을 위한 제언
 9. 결론
 참고문헌"
현직교원과 예비교사간의 정보활용능력 격차 분석 = An Analysis on Gap of the Ability to Utilize Information between In-service and Pre-service Teachers,"김형진 ( Hyung Jin Kim ),남영호 ( Young Ho Nam )",한국컴퓨터교육학회,컴퓨터교육학회 논문지(The Journal of Korean association of computer education),"Vol.15No.6[2012]
",2012,Korean,"교원정보활용능력 기준,정보활용교육,정보활용능력 격차 지수 ISST,Ability to Utilize Information,Instruction Utilizing Information,Index of Gap of Ability to Utility Information",28.6,KCI등재,"학술저널
",,43-52,5.0,,," ScienceON, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",,"학습자의 정보활용능력은 학습자의 창의성을 신장시키는 자기주도학습을 가능하게 한다. 그러나 중등 학교에서 정보소양 및 정보활용교육은 2009년 개정 교육과정이 시행되면 없어 질 것으로 예상된다. 따라서 중등학교에서 학습자의 정보활용능력 계발은 교사의 교과 수업을 통해 이루어질 수밖에 없을 것이며, 교사의 정보활용능력은 매우 중요한 능력으로 간주되어야 한다. 본 연구에서는 현직교원과 예비교사의 정보활용능력 실태를 조사하고 이들간 정보활용능력 격차를 분석하였다. 연구 결과, 현직교원과 예비교사의 종합 정보활용능력 지수는 각각 74.4점과 50.5점으로 나타났다. 예비교사의 정보활용능력은 현직교원의 약 68% 수준인 것으로 분석되었다. 따라서 시도교육청 및 교원양성기관은 예비교사의 정보활용능력 향상을 위한 방안을 수립·운영하여야 할 것이다.","The ability to utilize information of learner can do self-directed learning that increases creativity of learner. But in the middle and high schools, if 2009 revision curriculum has to be enforce, the education of information knowledge and literacy is expected to leave the education undone at schools, Therefore the ability of leaners must develop through teaching in all subjects, and so the ability of teachers in the class is very important. We examined the actual conditions about the ability of pre-service and in-service teachers, and analyzed the gap of the ability between in-service and pre-service teachers. The indexes of total ability of in-service and pre-service teachers are shown to be 74.4 points and 50.5 points out of 100. The ability of pre-service teachers is on the level about 68-percent as compared with the ability of in-service teachers. Therefor the education offices of cities and provinces and the teacher training institutes must establish for improvement of the ability of pre-service teachers.",
전자투표와 정보격차 = Electronic Voting and Digital Divide : Impact of Digital Literacy on Attitudes toward Electronic Voting,"이상신(Sang Sin Lee),김한나(Han Na Kim)",한국정치학회,한국정치학회보(Korean Political Science Review),"Vol.45No.2[2011]
",2011,Korean,"전자투표,정보격차,활용성,정보기술,이단계 최소제곱법,electronic voting,digital divide,digital literacy,information technology,two-stage least squares",,KCI등재,"학술저널
",http://www.kpsa.or.kr,173-199,,,, DBpia,영남대학교 중앙도서관,"노무현 정부 시절 이미 로드맵이 완성되었음에도 불구하고 한국에서의 전자투표 도입은 늦어지고 있다. 이 지연의 가장 큰 이유는 전자투표에 대한 사회적 합의가 불충분하기 때문이다. 정보격차(digital divide)는 학력, 연령, 성별, 지역 등과 같은 인구학적, 사회경제적 변수에 따라 인터넷에 대한 접근성 및 활용성의 수준이 크게 달라지는 것을 말한다. 본 연구는 특히 디지털 활용성 측면에서의 정보격차와 전자투표의 기술적 측면에 대한 긍정적ㆍ부정적 태도가 전자투표에 관한 인식에 영향을 미침으로써 사회적 합의 도출과 제도 도입을 어렵게 만든다고 주장한다. 전자투표에 대한 여론조사 데이터를 이단계 최소제곱법(Two-Stage Least Squares)을 통해 분석한 결과, 전자투표에 대한 기술적 신뢰 및 의구심, 그리고 정보격차가 전자투표에 관한 찬반태도에 상당히 큰 영향을 미치는 요인으로 밝혀졌다. 특히 학력과 연령이 정보격차를 결정짓는 중요한 인구사회학적 변수로 나타난 반면, 성별과 거주지는 정보 격차에 큰 영향을 주지 못한 것으로 드러났다.","Though the South Korean government decided to adopt the electronic voting system in early 2000s, actual implementation has been delayed. A main reason of this delay is the difficulty of building social consensus on the electronic voting. The digital divide refers to the gap between people who have internet access and use it effectively and those who do not. This digital divide is usually explained by the demographic and socio-economic factors such as gender, age, levels of education, locality etc. This paper argues that the digital divide and the public attitude toward the technical side of electronic voting tend to make it difficult to build the social consensus and to introduce the new voting system. We conducted the public opinion surveys to confirm this expectation. Using Two-Stage Least Squares regression method, we find that trust in technology and the digital divide have a significant impact on the public attitude on the electronic voting. Especially the levels of education and age are turned out to be very critical factors for the digital divide, while gender and their residential area do not.","논문요약
Ⅰ. 들어가며
Ⅱ. 이론적 고찰 및 선행연구 검토
Ⅲ. 모델과 변수
Ⅳ. 모델 및 분석
Ⅴ. 결론
〈참고문헌〉
"
